tweetler,tarih
Ekonomik politika sadece ABD'nin faiz artıramaması üzerine kurulamaz.,31 Eki 2017
"Almanya ve ABD arası ayrışma,
Kendileri için kötüdür.
Dünya'nın geri kalanı için iyidir.",30 May 2017
"Dünkü tartışılan öngörüm doğru çıktı.Çin, ABD ambargo korkusuyla geri adım attı.Kuzey Koreye bardağı taşırdın yönetimini alaşağı ederim dedi",12 Nis 2017
"Son 2 günde:
Çin, ABDye merak etme Koreye gerekeni yapacağım dedi.
Rusya ABD ile beraberim dedi.
İranda tepki veririz açıklamasını yalanladı",12 Nis 2017
"Türkiye: ABD'nin yeni yönetimine,
eskisinden daha iyi diye güvenmemeli.",26 Şub 2017
"Çin: Bugün,
Kuzey Kore'ye uçuşlarını durdurdu.
Kuzey Kore Nükleer deneme yaparsa,
ABD'nin nükleer üstlerini vuracağını,
tahmin ediyorum.",14 Nis 2017
"ABD'nin Paris anlaşmasından,
çekilmesi çok kötü.
Seçilen Başkanın her istediğini yapabilmesi Dünya için felaket.
İklim değişikliği gerçektir",2 Haz 2017
"ABD yönetimi bu kararın güvenlik nedenli olduğuna inanmamızı mı istiyor?
Komik !
Kabinde zararlı ama bagajda değil??",22 Mar 2017
"ABD'nin faizleri artırması,
Bilançosunu küçültmesi,
Trump'ın harcamaları arttırması,
bizim ekonomimiz için kötü.
Bunun önlemini almalıyız.",19 Nis 2017
"Kuzey Kore Başkanı:
""Dünya'yı Tahrip ederiz.""
ABD Başkanı:
""Kore'yi İmha ederiz.""
Çizgi film repliği gibiler.",22 Eyl 2017
"ABD krize girdi,
2009 sonrası çılgınca Dolar bastı,
Bol Dolarlar:
Gelişmekte olan ülkelere aktı.
O paralar ile Hormonlu Büyüme oldu,
Şimdi Paralar geri gidiyor...",9 Haz 2018
"GM artık ABD'nin en değerli araba şirketi değil. Artık lider Tesla.
Bu geleceğin ilk işaretleridir.",4 Nis 2017
"ABD Suriye’yi vuruyor:
Şam, Hama, Humus ve Dera kentleri vuruluyor. Türkiye’nin etkilenmemesini dilerim.",14 Nis 2018
"Dünya Ticaretine karşı,
ABD’nin yanlış ekonomik politikaları,
toplam ticarette %5 lik azalmaya yol açabilir. Bu likidite açlığı çeken bölgeler için kötü.",4 Tem 2018
"ABD top 50 üniversite’de:
Finans Yardımcı Doçent yıllık Maaşları yaklaşık: 1 Milyon 230 binTL",30 Nis 2018
"1) ABD İstihdam verisi hakkında yazmak istiyorum: Normalde Twitter sayfamı kişisel alan olarak kullanıyorum. Uzmanlık alanım olan sıkıcı Finans konularından ziyade, izlemekten zevk aldığım, merak ettiğim, daha fazla öğrenmek istediğim Teknolojik gelişmeleri paylaşıyorum.",4 Oca 2019
"ABD Esad'ı vurdu.
Vurulan yerde Rus askerleri de vardı.
Önceden haber verilmiş ancak
çok tehlikeli bir döneme giriyoruz.",7 Nis 2017
"Piyasalarında kasırga!
FED panik yaptı faizleri 50 puan indirdi.
ABD faiz indirerek virüsü nasıl tedavi edecek!
ABD borsaları da bunu bildiği için onca faiz indirimine rağmen düşüyor.
Tarihe şahitlik ediyoruz...
NOT: Bizdeki Dolar/TL düşüşüde FED'de düşer bize de düşer olayından!",3 Mar 2020
"İnanılmaz:
Trump Rusya’nın ABD seçimlerine müdahale ettiğini kabul etti. ",17 Tem 2018
"Şirket içi sunumlarıma katılanlar, 1.5 yıl öncesinden Soya Fasülyesi, Amerikalı sağ görüşlü çiftçiler ve ABD-ÇİN arasındaki ticaret savaşının bu şekilde evrileceği tahminini benden dinlemişlerdi. Şimdi savaşta 3. Faza geçildi. Bu faz iki tarafında canını yakacak.",5 Ağu 2019
