tweetler,tarih
"Dolara mudahale etmekde,
gecikilen her gun:
Cok daha buyuk bir
mudahale gerektirecek.
Birakin Ekonomiyi:
Ekonomi bilenler yurutsun :(",18 Kas 2016
"Ekonomi'de en onemli unsur guvendir.
Guveni saglayacak seyler:
Hukukun ustunlugu,
Seffaflik,
Finansal rakamlarin dogrulugudur.",21 Oca 2017
"ABDde Krugman ve benzerlerinin
olesiye savundugu Devletci ekonomi,
Is yaratamiyor.
O istihdam rakamlari
55 yas ustu yaslilardan ibaret.",9 Kas 2015
"1) Ekonomi TEK bakanda toplanmalı,
Bu kişi Mehmet Şimşek olmalı,
O bakan dışında hiç bir ""danışman"" 
veya bakan dolar-faiz konuşmamalı.",18 Kas 2016
"Kabinede:
Mehmet Simsek disinda hic kimse,
Ekonomi ile ilgili konusmamali.
Yoksa bu Dolar tutulamaz ...",10 Kas 2016
"Az sonra Bloomberg'de,
Canlı yayın başlıyor,
Trump, Ekonomi, Finans ve Geleceği
konuşacağım...",9 Kas 2016
"Özgürlüğün olmadığı yerde,
Ekonomi olmaz.
Bireyin olmadığı yerde,
Özgürlük olmaz..",15 Tem 2016
"ABD ekonomisi guclu bir ekonomi. Kuskunuz olmasin ki her ne kadar SOL goruslu ekonomisler bu bol para ortamina devam karari almis olsalarda,",19 Eyl 2013
"Sayin Ekonomi Bakani
""Merkez Bankasi Radikal sekilde faiz indirmeli"" demis.
Faizler Emirle inmez.
Bu soylemler tam aksine Faizi firlatir.",6 Nis 2016
"Alt gelir grubunun:
alt gelir grubundan cikmasinin yolu,
Robin Hood'culuk oynamak degildir.
Sureklilik arzedecek,
Verimli Ekonomi kurmaktir.",15 Kas 2015
"Okullarda saatlerce tartisilan Osmanli Savas tarihi yerine,Osmanli sanat tarihi, Osmanli ekonomi tarihi,Osmanli finans tarihi ogretilmeliydi",12 Kas 2012
Bugunku ekonomi koordinasyon kurulu toplantisi cok onemli. Bir baska toplantiya gerek duydurtmayacak bir toplanti olmasini dilerim.,23 Kas 2016
#Ekonomi okuyanlar: O is tek basina olmaz. Einstein olmakla Apollo Pilotu olunmaz. Mars'a ayak basilmaz. Finans Okuyun. Kesin okuyun!,25 Kas 2012
"Bilime öz evlat muamelesi yapmayanlara,
Ekonomi Üvey evlat muamelesi yapar ! ...",1 Haz 2018
"1) Öncelikle iyimser ve Olumlu bir hava vermek için bu twit serisini yazmak istedim. Son 4-5 gün piyasalar için oldukça stresli oldu. ""Davranışsal Ekonomi"" ve ""Davranışsal Finans"" bunu gerektiriyordu. Bazen gerçekler değil insanların o gerçekleri nasıl algıladığı önemli olur.",26 Şub 2020
Siz bu grafikte ne goruyorsunuz tepetaklak bir ekonomi degil mi?,31 Eki 2011
"Bugun saat 19:00 da Bloomberg'de
canli yayinda olacagim.
Trump, Ekonomi ve Turkiye'yi konusuruz.
@BloombergHT @AliCaatay",9 Kas 2016
#SiyasetBilimi okuyanlar: Lisans ustu dereceniz Ekonomi olmali. Hem Siyaseti hem Ekonomiyi okuyanlar fark yaratirlar.,25 Kas 2012
"Piyasaların istediği ismin,
Ekonomi yönetiminde olmayacağını,
Düşünüyorum...",20 Kas 2015
"Para politikası,
Ekonomi,
Finans,
Teknik konulardır.
Teknik konuları, o işin eğitimini almış insanlar konuşabilir.
Diğerleri konuşursa Boş konuşur.",18 Ara 2017
