tweetler,tarih
Amazon bilançosunu açıkladı. Tek çeyrekte 125 Milyar Dolar ciro inanılmaz bir rakam. Jeff Bezos ise CEO’luktan ayrılıyor. Bu bazıları için hisse split ihtimalini arttırıcı bir haber.,20s
"1) Maalesef Dolar büyük bir zıplama gerçekleştirdi, rekor üstüne rekor kırdı :-( Çoğu kişi zor durumda kaldı. Konu hakkında yazacağım.",9 Oca 2017
"2016'da:
Türkiye'ye giren ""Kaynağı Belirsiz"" Para:
11 Milyar Dolar.",17 Şub 2017
"Apple an itibari ile rekor seviyede.
Şirket büyüklüğü:
850 Milyar Dolar.",31 Ağu 2017
"Merkez Bankası'nın faiz kararı:
Olması gerekenden az ve geçici.
Bir  süre idare eder,
Dolar endeksinden
kötü haber gelirse sendeleriz.",16 Mar 2017
"1) Dolar da cok buyuk bir oynaklik oldu.
Hem Hane Halki,
Hem Reel Sektor bu durumdan etkilendi.
Ilk once olanlara bakalim:",8 Ara 2016
"Singapur:
Kişi başına Yüksek Teknoloji İhracatı:
27,000 Dolar
Türkiye:
Kişi başına Yüksek Teknoloji İhracatı:
22 Dolar
Değişmemiz lazım.",22 Oca 2017
"Faiz konusunda yine geç kalınıyor.
Dolar yine baş ağrıtıyor, ağrıtacak.
Aynı hatayı, aynı şekilde yapmanın,
Akıllılık olmadığı kesin.",14 Kas 2017
"Bu gece Türkiye saati ile 22:30 da
Dolar, Euro ve Piyasalar hakkında
yazayım. Sadece bana Flod yazmayı öğretirseniz sevinirim.",9 Oca 2017
Trump'in Dolar hakindaki sozleri cok enteresan. Gucsuz dolar istiyorum diyor. Bu Turkiye icin olumlu bir gelisme. Ancak gobegimizi biz,18 Oca 2017
"Piyasaya dolar satmak: çalışmaz
Faizi burada tutmak: çalışmaz.
Haftaya faiz üst bant da minimum 100 baz puan artış gerekiyor.",9 Mar 2017
"Dolar piyasaya dolar satarak inmez
Faiz merkez bankası indirince İnmez
İkisininde aynı anda inmesinin
Tek yolu Reform dur.",12 Ara 2016
TL swap faiz 25.5 dan 24’e düşürüldü. Dolar/TL’ de 5.71’e zıpladı.,8 Nis 2019
"Hocam bak merkez faiz arttırmadı,
Ama yine de Dolar indi diyenler:
Ahh benim:
okumayan anlamayan kardeşim:
Merkez Örtülü faiz artışı yaptı !",15 Oca 2017
"An itibari ile Apple'ın değeri
735 Milyar Dolara ulaştı.
0.9-1 Trilyon Dolar hedefim geçerli !",1 Mar 2017
1)İnsanların günlük işleri başka başka olduğu için Merkez Bankası'nın ne yaptığını ve neden Dolar'ın bu şekilde davrandığını bilmiyorlar.,25 Oca 2017
"ABD krize girdi,
2009 sonrası çılgınca Dolar bastı,
Bol Dolarlar:
Gelişmekte olan ülkelere aktı.
O paralar ile Hormonlu Büyüme oldu,
Şimdi Paralar geri gidiyor...",9 Haz 2018
"Merkez Bankası:
durumu izlemeye devam ederse,
durumu izlemeye zorlanırsa,
Dolar'da çok daha feci şeyler olur.
Aklımızı başımıza almak ŞART.",11 Oca 2017
"Doları dolar satarak düşürmeye calışmak, kurşuna kurşun atmaktır.
Faiz ile durdurmaya çalışmak,
Kurşun geçirmez yelek giymektir.",12 Ara 2016
"Microsoft 40 Milyar Dolar kullanarak kendi hisse senedini geri satın alacak. Krediler yatırımlara değil, halka açık şirketlerin hisse senetlerini piyasadan çekmelerine gidiyor.",18 Eyl 2019
"Temmuz 1994 yılında, yani tam 25 yıl önce, AMAZON şirketi kuruldu. İlk adı Cadabra idi. Sonradan Amazon adını aldı. 25. Doğumgününde şirket 978 Milyar Dolar değere ulaştı.",9 Tem 2019
"Dolar 3.50 idi.
İnsanlar ve Kamu kurumları kasalarındaki milyarları sattı:
3.33'e indi
yarım günde de geri çıktı
Olan ülkenin rezervine oldu",12 Ara 2016
"Dolar Borcunu:
İş işten geçtikten sonra hedgelemek,
Kaza yaptıktan sonra:
Kasko yaptırmaya çalışmaya benzer.
Risk yönetimi işletmeler için lüks değil elzemdir.",10 Ağu 2018
"Piyasalarında kasırga!
FED panik yaptı faizleri 50 puan indirdi.
ABD faiz indirerek virüsü nasıl tedavi edecek!
ABD borsaları da bunu bildiği için onca faiz indirimine rağmen düşüyor.
Tarihe şahitlik ediyoruz...
NOT: Bizdeki Dolar/TL düşüşüde FED'de düşer bize de düşer olayından!",3 Mar 2020
1) Amazon Bilançosunu açıkladı. Öncelikle birkaç bilgi vererek başlayayım. 2019 ayının Ocak Şubat ve Mart aylarında yani sadece 3 ay içindeki cirosu 59.7 Milyar Dolar etti. Yani bugünkü Dolar/TL kurundan hesaplarsak yaklaşık 355 Milyar TL’ye denk geliyor.,26 Nis 2019
"Dolar yine 3.82.
Artık anlaşılması lazım.
Durum tehlikeli ve bu durum ile sadece işinin ehli insanlar başa çıkabilir.",16 Oca 2017
"Merkez Bankası pas geçip,
faiz arttırmama gibi bir hata yaparsa,
Sonuçları acı olur.
Dolar tutulmaz.",15 Mar 2017
Dolar Dünya’nın majör para birimlerine karşı ciddi değer kaybediyor. Tepe noktasından %6.,9 Mar 2020
"Merkez Bankası üzerinde
Faiz indir baskısı olduğu sürece:
Dolar ateşi ile yakmaya devam eder.
Lütfen ekonomik teoriye uygun davranalım.",5 Oca 2017
"Merkez Bankası üzerinde
Faiz indir baskısı olduğu sürece:
Dolar ateşi ile yakmaya devam eder.
Lütfen ekonomik teoriye uygun davranalım.",5 Oca 2017
"Duruma müdahale edilmemesi durumunda Dolar'da çok daha kötü seviyeler gerçek olur.
Aklın yolundan gitmemiz lazım.",11 Oca 2017
"Apple mükemmel bir bilanço açıkladı.
3 aylık satış 46 Milyar Dolar !",1 Ağu 2017
"Bugün saat 22:40 da:
Dolar ile ilgili yazacağım.",25 Şub 2017
"Mike Bloomberg, Biden lehine reklamlar için milyonlarca Dolar harcıyor. Özellikle kilit eyaletlerde harcanan bu paralar seçim için oldukça kritik.",29 Eki 2020
"Elektrik kesintilerinden dolayı,
Sanayinin kaybı milyonlarca Dolar.
Hani şu yükselen dolar...",31 Ara 2016
"Dolar'a ne olacagini soylemistim.
Hem de binlerce defa.
Bir kez olsun dinlenmeliydi :-(",9 Oca 2017
"1) Dolar 1.60'dan 3.95'e fırlıyor ses yok.
3.60 dan 3.52'ye iniyor:
""Hocam bak gördün mü"" sesleri.
Konu hakkında bir kaç söylenecek var+",3 May 2017
"Tükettiklerimizin çoğu Dolar ile,
Ürettiklerimizin hammaddesi de Dolar ile,
Enerjimiz de Dolar ile alınıyor.
Bu bir sonuç.
Sonuçları değiştiremeyiz.
Nedenleri değiştirmeliyiz...",29 May 2018
"Baska bir ulkede olsa:
Dolar buraya cikmisken,
Soylediklerin tersi cikan danismanlar,
istifa etmisti.
Japonya'da olsa:
Intihar etmislerdi.",19 Oca 2017
"Şu anda köpekbalıkları
yavaş yavaş piyasaya çekilmeye başlandı :-( Maalesef dediklerim yapılmadı. Dolar dolar satarak düşmez.",5 Oca 2017
"Dolar 3.85 :-(
Daha ne diyeyim ?",11 Oca 2017
"Fed başkanı piyasaların istediğini vermedi. Dolar endeksi yükseldi. Bu gelişmekte olan piyasalar için olumsuz. Her kelime, her heceleme, her vurgu piyasaları etkiliyor.",1 May 2019
"Apple:
Yıllık Ciro: 216 Milyar Dolar
Kar marjı: %39
Net marj: %22
Türkiye'nin ihracatının yaklaşık 1.5 katı.",2 Ağu 2017
Yaptırım kararı sonrası Dolar/TL düştü diye sevinen TV yorumcuları: Yine gerçeklikten kopmuşlar. Yazdığım gibi çok daha sert Ekonomik yaptırımlar olabilirdi. Olmadığı için şimdilik piyasalar sakin kaldı. Ancak Ocak ayında ne olacak bilmiyoruz. O yüzden saçma sapan hamasi yorumlar,14 Ara 2020
"AB ekonomisindeki kötü gidiş Euro/Dolar paritesini düşürür. Bu Türkiye’nin alehine olur. Çünkü ara malları Dolar ile alıp, nihai ürünü Euro ile satıyoruz. Ancak bir Eurosal Genişleme, Almanya’ya olan ihracatı arttırır, Türkiye’ye extra Euro kredisi sağlar. Yani Bir kötü, bir iyi.",12 Mar 2019
1-Her gün soru geliyor: Dolar düşüyor niye yazmıyorsunuz? Veya Dolar hareketlendi niye yazmıyorsunuz? diye.,25 Şub 2017
"Apple 3 aylık bilançosunu açıkladı:
3 Aylık Cirosu 52 Milyar Dolar.
Yıllık Cirosu 216 Milyar Dolar.
Kar marjı %39.",5 May 2017
"TL de sorun yok
Dolar degerleniyor ondan diyenler:
2015'de Dolar endeksi 100 idi dolar 2.63
Su anda Dolar endeksi hala 100 Dolar 3.76!",23 Oca 2017
